Symbol,Date,Time,Open,High,Low,Close,TotalVolume,,,,,,,,,,,,,,,,Open
2317,2024/10/21,10:54:00,210.5,210.5,210,210.5,54,,,,,,,,,,,,,,,,
2317,2024/10/21,10:55:00,210.5,210.5,210,210,99,,,,,,,,,,,,,,,,
2317,2024/10/21,10:56:00,210.5,210.5,210,210.5,86,,,,,,,,,,,,,,,,
2317,2024/10/21,10:57:00,210.5,211,210,210.5,270,,,,,,,,,,,,,,,,
2317,2024/10/21,10:58:00,210.5,211,210.5,210.5,124,,,,,,,,,,,,,,,,
2317,2024/10/21,10:59:00,211,211,210.5,210.5,49,,,,,,,,,,,,,,,,
2317,2024/10/21,11:00:00,210.5,211,210.5,210.5,46,,,,,,,,,,,,,,,,
2317,2024/10/21,11:01:00,210.5,211,210.5,211,82,,,,,,,,,,,,,,,,
2317,2024/10/21,11:02:00,210.5,211,210.5,210.5,20,,,,,,,,,,,,,,,,
2317,2024/10/21,11:03:00,211,211,210.5,210.5,19,,,,,,,,,,,,,,,,
2317,2024/10/21,11:04:00,211,211,210.5,210.5,40,,,,,,,,,,,,,,,,
2317,2024/10/21,11:05:00,210.5,211,210.5,210.5,31,,,,,,,,,,,,,,,,
2317,2024/10/21,11:06:00,211,211,210.5,211,37,,,,,,,,,,,,,,,,
2317,2024/10/21,11:07:00,210.5,211,210.5,210.5,82,,,,,,,,,,,,,,,,
2317,2024/10/21,11:08:00,210.5,211,210.5,211,93,,,,,,,,,,,,,,,,
2317,2024/10/21,11:09:00,211,211,210.5,210.5,49,,,,,,,,,,,,,,,,
2317,2024/10/21,11:10:00,211,211,210.5,210.5,50,,,,,,,,,,,,,,,,
2317,2024/10/21,11:11:00,210.5,211,210.5,210.5,60,,,,,,,,,,,,,,,,
2317,2024/10/21,11:12:00,210.5,211,210.5,211,33,,,,,,,,,,,,,,,,
2317,2024/10/21,11:13:00,211,211,210.5,211,241,,,,,,,,,,,,,,,,
2317,2024/10/21,11:14:00,211,211,210.5,211,140,,,,,,,,,,,,,,,,
2317,2024/10/21,11:15:00,211,211,210.5,210.5,95,,,,,,,,,,,,,,,,
2317,2024/10/21,11:16:00,211,211,210.5,210.5,69,,,,,,,,,,,,,,,,
2317,2024/10/21,11:17:00,211,211,210.5,210.5,114,,,,,,,,,,,,,,,,
2317,2024/10/21,11:18:00,211,211,210.5,210.5,65,,,,,,,,,,,,,,,,
2317,2024/10/21,11:19:00,211,211,210.5,210.5,123,,,,,,,,,,,,,,,,
2317,2024/10/21,11:20:00,210.5,211,210.5,211,246,,,,,,,,,,,,,,,,
2317,2024/10/21,11:21:00,211,211.5,211,211,187,,,,,,,,,,,,,,,,
2317,2024/10/21,11:22:00,211,211.5,211,211,66,,,,,,,,,,,,,,,,
2317,2024/10/21,11:23:00,211,211.5,211,211,54,,,,,,,,,,,,,,,,
2317,2024/10/21,11:24:00,211.5,211.5,211,211,21,,,,,,,,,,,,,,,,
2317,2024/10/21,11:25:00,211.5,211.5,211,211,49,,,,,,,,,,,,,,,,
2317,2024/10/21,11:26:00,211,211.5,211,211,39,,,,,,,,,,,,,,,,
2317,2024/10/21,11:27:00,211,211.5,211,211,47,,,,,,,,,,,,,,,,
2317,2024/10/21,11:28:00,211,211.5,211,211,282,,,,,,,,,,,,,,,,
2317,2024/10/21,11:29:00,211,211.5,211,211,40,,,,,,,,,,,,,,,,
2317,2024/10/21,11:30:00,211,211.5,211,211.5,52,,,,,,,,,,,,,,,,
2317,2024/10/21,11:31:00,211,211.5,211,211,138,,,,,,,,,,,,,,,,
2317,2024/10/21,11:32:00,211,211.5,211,211,129,,,,,,,,,,,,,,,,
2317,2024/10/21,11:33:00,211.5,211.5,211,211,94,,,,,,,,,,,,,,,,
2317,2024/10/21,11:34:00,211,211.5,211,211.5,96,,,,,,,,,,,,,,,,
2317,2024/10/21,11:35:00,211.5,211.5,211,211,20,,,,,,,,,,,,,,,,
2317,2024/10/21,11:36:00,211.5,211.5,211,211,47,,,,,,,,,,,,,,,,
2317,2024/10/21,11:37:00,211,211.5,211,211,64,,,,,,,,,,,,,,,,
2317,2024/10/21,11:38:00,211,211.5,211,211,48,,,,,,,,,,,,,,,,
2317,2024/10/21,11:39:00,211,211.5,211,211,114,,,,,,,,,,,,,,,,
2317,2024/10/21,11:40:00,211.5,211.5,211,211,58,,,,,,,,,,,,,,,,
2317,2024/10/21,11:41:00,211,211.5,211,211,69,,,,,,,,,,,,,,,,
2317,2024/10/21,11:42:00,211,211.5,210.5,210.5,237,,,,,,,,,,,,,,,,
2317,2024/10/21,11:43:00,211,211,210.5,210.5,31,,,,,,,,,,,,,,,,
2317,2024/10/21,11:44:00,211,211,210.5,210.5,26,,,,,,,,,,,,,,,,
2317,2024/10/21,11:45:00,211,211,210.5,210.5,40,,,,,,,,,,,,,,,,
2317,2024/10/21,11:46:00,210.5,211,210.5,210.5,51,,,,,,,,,,,,,,,,
2317,2024/10/21,11:47:00,211,211,210.5,210.5,73,,,,,,,,,,,,,,,,
2317,2024/10/21,11:48:00,210.5,211,210.5,210.5,36,,,,,,,,,,,,,,,,
2317,2024/10/21,11:49:00,210.5,211,210.5,211,67,,,,,,,,,,,,,,,,
2317,2024/10/21,11:50:00,211,211,210.5,210.5,43,,,,,,,,,,,,,,,,
2317,2024/10/21,11:51:00,211,211,210.5,210.5,31,,,,,,,,,,,,,,,,
2317,2024/10/21,11:52:00,210.5,211,210.5,210.5,43,,,,,,,,,,,,,,,,
2317,2024/10/21,11:53:00,211,211,210.5,210.5,45,,,,,,,,,,,,,,,,
2317,2024/10/21,11:54:00,211,211,210.5,210.5,40,,,,,,,,,,,,,,,,
2317,2024/10/21,11:55:00,210.5,211,210.5,210.5,38,,,,,,,,,,,,,,,,
2317,2024/10/21,11:56:00,211,211,210.5,210.5,36,,,,,,,,,,,,,,,,
2317,2024/10/21,11:57:00,211,211,210.5,210.5,22,,,,,,,,,,,,,,,,
2317,2024/10/21,11:58:00,211,211,210.5,210.5,44,,,,,,,,,,,,,,,,
2317,2024/10/21,11:59:00,211,211,210.5,210.5,38,,,,,,,,,,,,,,,,
2317,2024/10/21,12:00:00,210.5,211,210.5,210.5,46,,,,,,,,,,,,,,,,
2317,2024/10/21,12:01:00,211,211,210.5,210.5,32,,,,,,,,,,,,,,,,
2317,2024/10/21,12:02:00,210.5,211,210.5,210.5,52,,,,,,,,,,,,,,,,
2317,2024/10/21,12:03:00,210.5,211,210.5,210.5,41,,,,,,,,,,,,,,,,
2317,2024/10/21,12:04:00,210.5,211,210.5,210.5,29,,,,,,,,,,,,,,,,
2317,2024/10/21,12:05:00,210.5,211,210.5,210.5,37,,,,,,,,,,,,,,,,
2317,2024/10/21,12:06:00,210.5,211,210.5,210.5,89,,,,,,,,,,,,,,,,
2317,2024/10/21,12:07:00,210.5,211,210.5,211,39,,,,,,,,,,,,,,,,
2317,2024/10/21,12:08:00,210.5,211,210.5,210.5,53,,,,,,,,,,,,,,,,
2317,2024/10/21,12:09:00,210.5,211,210.5,210.5,83,,,,,,,,,,,,,,,,
2317,2024/10/21,12:10:00,210.5,211,210.5,210.5,294,,,,,,,,,,,,,,,,
2317,2024/10/21,12:11:00,210.5,211,210.5,210.5,76,,,,,,,,,,,,,,,,
2317,2024/10/21,12:12:00,210.5,211,210.5,210.5,57,,,,,,,,,,,,,,,,
2317,2024/10/21,12:13:00,211,211,210,210,854,,,,,,,,,,,,,,,,
2317,2024/10/21,12:14:00,210,210.5,210,210,108,,,,,,,,,,,,,,,,
2317,2024/10/21,12:15:00,210,210.5,210,210,83,,,,,,,,,,,,,,,,
2317,2024/10/21,12:16:00,210,210.5,210,210.5,64,,,,,,,,,,,,,,,,
2317,2024/10/21,12:17:00,210,210.5,210,210,39,,,,,,,,,,,,,,,,
2317,2024/10/21,12:18:00,210.5,210.5,210,210,55,,,,,,,,,,,,,,,,
2317,2024/10/21,12:19:00,210,210.5,210,210,48,,,,,,,,,,,,,,,,
2317,2024/10/21,12:20:00,210.5,210.5,210,210,49,,,,,,,,,,,,,,,,
2317,2024/10/21,12:21:00,210,210.5,210,210.5,59,,,,,,,,,,,,,,,,
2317,2024/10/21,12:22:00,210,210.5,210,210,47,,,,,,,,,,,,,,,,
2317,2024/10/21,12:23:00,210,210.5,210,210,84,,,,,,,,,,,,,,,,
2317,2024/10/21,12:24:00,210,210.5,210,210,44,,,,,,,,,,,,,,,,
2317,2024/10/21,12:25:00,210,210.5,210,210,58,,,,,,,,,,,,,,,,
2317,2024/10/21,12:26:00,210.5,210.5,210,210,34,,,,,,,,,,,,,,,,
2317,2024/10/21,12:27:00,210,210.5,210,210,41,,,,,,,,,,,,,,,,
2317,2024/10/21,12:28:00,210.5,210.5,210,210.5,38,,,,,,,,,,,,,,,,
2317,2024/10/21,12:29:00,210.5,210.5,210,210,58,,,,,,,,,,,,,,,,
2317,2024/10/21,12:30:00,210.5,210.5,210,210,42,,,,,,,,,,,,,,,,
2317,2024/10/21,12:31:00,210,210.5,210,210,56,,,,,,,,,,,,,,,,
2317,2024/10/21,12:32:00,210.5,210.5,210,210,141,,,,,,,,,,,,,,,,
2317,2024/10/21,12:33:00,210,210.5,210,210,55,,,,,,,,,,,,,,,,
2317,2024/10/21,12:34:00,210,210.5,210,210,96,,,,,,,,,,,,,,,,
2317,2024/10/21,12:35:00,210.5,210.5,210,210,100,,,,,,,,,,,,,,,,
2317,2024/10/21,12:36:00,210.5,210.5,210,210,150,,,,,,,,,,,,,,,,
2317,2024/10/21,12:37:00,210,210.5,210,210,105,,,,,,,,,,,,,,,,
2317,2024/10/21,12:38:00,210,210.5,210,210,254,,,,,,,,,,,,,,,,
2317,2024/10/21,12:39:00,210,210.5,210,210,47,,,,,,,,,,,,,,,,
2317,2024/10/21,12:40:00,210.5,210.5,210,210,46,,,,,,,,,,,,,,,,
2317,2024/10/21,12:41:00,210,210.5,210,210,42,,,,,,,,,,,,,,,,
2317,2024/10/21,12:42:00,210,210.5,210,210,86,,,,,,,,,,,,,,,,
2317,2024/10/21,12:43:00,210,210.5,209.5,209.5,1643,,,,,,,,,,,,,,,,
2317,2024/10/21,12:44:00,210,210,209.5,209.5,183,,,,,,,,,,,,,,,,
2317,2024/10/21,12:45:00,209.5,210,209.5,209.5,325,,,,,,,,,,,,,,,,
2317,2024/10/21,12:46:00,210,210,209.5,209.5,74,,,,,,,,,,,,,,,,
2317,2024/10/21,12:47:00,209.5,210,209.5,209.5,71,,,,,,,,,,,,,,,,
2317,2024/10/21,12:48:00,210,210,209.5,209.5,101,,,,,,,,,,,,,,,,
